S0;Call_Price
1000;0.0
1050;0.0
1100;0.0
1150;0.0
1200;0.0
1250;0.0
1300;0.0
1350;0.0
1400;0.0007207980836136068
1450;0.0006808081153231825
1500;0.04422633636159678
1550;0.0549726064325981
1600;0.05776697490806018
1650;0.04167452898425767
1700;0.07039605638574105
1750;0.16709333948823196
1800;0.3608989900085292
1850;0.44387317284128597
1900;0.5175529862384991
1950;0.7369342025228778
2000;1.0746894867199746
2050;1.374340979339804
2100;1.7179759028684334
2150;2.476452477035746
2200;3.1026776204340623
2250;3.496481164677479
2300;4.421364185956743
2350;5.046502860222803
2400;5.745487201712136
2450;6.636640074903227
2500;7.545976784941082
2550;8.135285698898608
2600;9.620367292336839
2650;9.676241281045712
2700;10.637882428695347
2750;10.6181201165043
2800;11.397706559494953
2850;11.4724280874658
2900;11.768107868911414
2950;11.247564825413003
3000;10.920242096484968
3050;10.777387489125207
3100;10.343139225922931
3150;9.183271912348825
3200;8.29249317212377
3250;7.761883550812763
3300;6.880983799488586
3350;5.706655949436241
3400;4.679219672070956
3450;3.648813305995623
3500;2.3625418046343962
3550;1.2153261159424003
